step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
292,6.63671875,6.63281250,3.90625000e-03,169.87500000,166.00000000,3.87500000e+00
293,5.67187500,5.67187500,0.00000000e+00,-46.87500000,-50.78125000,3.90625000e+00
294,5.47265625,5.45312500,1.95312500e-02,-105.43750000,-109.37500000,3.93750000e+00
295,5.78125000,5.78906250,7.81250000e-03,54.68750000,58.59375000,3.90625000e+00
296,6.92968750,6.93359375,3.90625000e-03,-152.37500000,-148.37500000,4.00000000e+00
297,7.36718750,7.35937500,7.81250000e-03,191.37500000,195.25000000,3.87500000e+00
298,5.51171875,5.51171875,0.00000000e+00,-109.37500000,-113.25000000,3.87500000e+00
299,7.26171875,7.25000000,1.17187500e-02,232.37500000,230.50000000,1.87500000e+00
300,4.92578125,4.91796875,7.81250000e-03,-91.81250000,-87.87500000,3.93750000e+00
301,5.07812500,5.06250000,1.56250000e-02,54.68750000,56.62500000,1.93750000e+00
302,6.16406250,6.15625000,7.81250000e-03,175.75000000,171.87500000,3.87500000e+00
303,5.58203125,5.56250000,1.95312500e-02,84.00000000,85.93750000,1.93750000e+00
