================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::eq         0.01%       6.061ms         0.01%       9.211ms      21.931us     548.000us         0.00%     562.000us       1.338us           0 b           0 b     406.00 Kb     406.00 Kb           420            --  
                                              aten::all         0.01%       5.292ms         0.02%      11.520ms      27.961us     440.000us         0.00%     701.000us       1.701us          -4 b          -4 b     205.00 Kb     205.00 Kb           412            --  
                                        aten::new_empty         0.01%       8.368ms         0.03%      17.693ms      20.840us       0.000us         0.00%       0.000us       0.000us           2 b           0 b       5.25 Mb     176.00 Kb           849            --  
                                          aten::resize_         0.00%     276.000us         0.00%     276.000us       8.625us       0.000us         0.00%       0.000us       0.000us      12.50 Kb      12.50 Kb     114.50 Kb     114.50 Kb            32            --  
                                 aten::nll_loss_forward         0.00%     147.000us         0.00%     211.000us      21.100us      32.000us         0.00%      33.000us       3.300us           0 b           0 b      10.00 Kb      10.00 Kb            10            --  
                                               aten::lt         0.01%       6.741ms         0.03%      16.302ms     465.771us      13.000us         0.00%      13.000us       0.371us           0 b           0 b       6.50 Kb       6.50 Kb            35            --  
                                           aten::cumsum         0.01%       4.609ms         0.02%      13.496ms     385.600us      10.000us         0.00%      10.000us       0.286us           0 b           0 b       6.00 Kb       6.00 Kb            35            --  
                                               aten::to         0.84%     544.191ms         5.63%        3.640s     339.829us       0.000us         0.00%      20.000us       0.002us          40 b         -84 b     169.50 Kb       3.00 Kb         10711            --  
                                              aten::div         0.06%      39.156ms         0.09%      58.129ms     155.011us       5.000us         0.00%      11.000us       0.029us           0 b           0 b       2.50 Kb       2.50 Kb           375            --  
                                       aten::empty_like         0.02%      13.835ms         0.04%      28.721ms       5.013us       0.000us         0.00%       0.000us       0.000us      82.23 Kb      20.22 Kb     119.88 Mb       2.00 Kb          5729            --  
                                      aten::nll_loss_nd         0.00%      77.000us         0.00%     292.000us      29.200us       0.000us         0.00%      27.000us       2.700us           0 b           0 b       6.50 Kb       2.00 Kb            10            --  
                                          ProfilerStep*         0.00%     142.000us       100.00%       64.679s       12.936s       0.000us         0.00%     259.248ms      51.850ms           0 b           0 b       5.99 Mb           0 b             5            --  
                                        training_step_2         0.00%     505.000us        19.95%       12.902s       12.902s       0.000us         0.00%      24.193ms      24.193ms           0 b           0 b       6.99 Mb           0 b             1            --  
